halsbandad flugsnappare,vithalsad flugsnappare
halsbands flugsnappare,vithalsad flugsnappare
liten flugsnappare,liten flugsnappare
svart flugsnappare,svart flugsnappare
vit flugsnappare,vit flugsnappare
svartvit flugsnappare,vit flugsnappare
svartvit flugsnappare,svart flugsnappare
vithalsad flugsnappare,vithalsad flugsnappare
flylärka,ängpiplärka
flyttduva,flyttduva
fläkt,alfläkt
forskarl,strömstare
forskung,strömstare
forspräst,strömstare
forsskjora,strömstare
forsskjuro,forsskjuro
forssparr,forsskjuro
forssparv,forsskjuro
forsspink,forsskjuro
fruntdocka,skäggdopping
fruntnacka,skäggdopping
furubläddra (-o),lavskrika
furufladdra,lavskrika
furulaus,trädkrypare
furulus,rödstjärt
furupytt,kungsfågel
fågelhök,duvhök
fågel karl,gräsand
fågelkung,kungsfågel
fåraspringare,sädesärla
fåvitta,rödspov
fältlärka,fältpiplärka
fältpiplärka,fältpiplärka
fältsparv,pilfink
fögelkarl (-kå(r)l),sjöfågel
gadegrim,sädesärla
gagel,prutgås
fint gagel,prutgås
grovt gagel,grågås
gagel-gås,prutgås
galdust,alfågel
gale,nattergale
gal(l)höna,översomrande alfågelhona utan ungar
gal(l)åda,översomrande ejderhona utan ungar
gam,gam
gaptrast,björktrast
garfågel,garfågel
garspe,järpe
gase (gasse),simfåglar
gast,berguv
gasteruggla,berguv
gatevippa,sädesärla
gatrännare,sädesärla
gatärla,sädesärla
gauk,gök
gaukapeju,gökpiga
gaukpeit,göktyta
geirfugl,garfågel
gerfalk,jaktfalk
gertrudsfågel,gråspett
gertrudsfågel,spillkråka
långstyle gettyppa,stjärtmes
getypp,lappmes
ge-ut,spetsstjärtad labb
gipp-get,stjärtmes
gjause,gjuse
gjaus-pejnare,gjuspinare
gjud,fiskmås 
gjud,spetsstjärtad labb
gjud,fiskgjud
gjusa (-e),fiskgjuse
gjusa (-e),fiskmås
gjusa (-e),gråtrut
gjusa (-e),havstrut
gjusa (-e),sillmås
gjuspinare,spetsstjärtad labb
gjusrok,ung sillmås;
gjusrok,rok
gjusrok,råk
glada,vanlig glada
brun glada,brun glada
svart glada,brun glada
